field_1,lat,lng,label,predictions,ids,CLUSTER_ID
207,45.023371,7.669023,2,"8 : 0.49162367, 14 : 0.061210517, 13 : 0.01841979",50187937391,
208,45.023371,7.669023,2,"9 : 0.77177894, 2 : 0.09952011, 2 : 0.0037553445",50187928871,
209,45.023371,7.669023,2,"13 : 0.33975708, 8 : 0.12437958, 7 : 0.07040779",50187934426,
210,45.023371,7.669023,2,"8 : 0.4009491, 9 : 0.10743126, 13 : 0.019247683",50187397423,
211,45.023371,7.669023,2,"2 : 0.32025748, 12 : 0.060193226, 6 : 0.049206957",50187929506,
212,45.023371,7.669023,2,"9 : 0.3278807, 8 : 0.039032325, 13 : 0.03476502",50187393288,
213,45.023371,7.669023,2,"6 : 0.12834278, 6 : 0.10546738, 6 : 0.09984785",50187938256,
214,45.023371,7.669023,2,"7 : 0.23998295, 13 : 0.09600306, 13 : 0.06324756",50187396238,
215,45.023371,7.669023,2,"13 : 0.34725526, 2 : 0.090444, 13 : 0.051217",50187930921,
216,45.023371,7.669023,2,"13 : 0.33434612, 13 : 0.09999934, 13 : 0.07460643",50188189327,
217,45.023371,7.669023,2,"4 : 0.35572642, 2 : 0.26359442, 8 : 0.04070213",50187935891,
218,45.023371,7.669023,2,"13 : 0.86804986, 13 : 0.010652266, 13 : 0.0029809135",50187937791,
219,45.023371,7.669023,2,"13 : 0.7207624, 13 : 0.040650614, 8 : 0.018951384",50187397638,
220,45.023371,7.669023,2,"7 : 0.056304213, 9 : 0.074975014",50187938551,
221,45.023371,7.669023,2,"6 : 0.10895709, 6 : 0.10081425, 6 : 0.08304206",50187940706,
222,45.023371,7.669023,2,"13 : 0.19663571, 13 : 0.0676576, 14 : 0.050471243",50187396728,
223,45.023371,7.669023,2,"5 : 0.3807335, 13 : 0.08897443, 7 : 0.07738707",50187387513,
224,45.023371,7.669023,2,"13 : 0.7301475, 2 : 0.02199222, 13 : 0.007983896",50187394943,
225,45.023371,7.669023,2,"8 : 0.10161847, 7 : 0.06808819, 7 : 0.05674061",50187390103,
226,45.023371,7.669023,2,"13 : 0.0664331, 13 : 0.030375969, 13 : 0.020854322",50187934636,
227,45.023371,7.669023,2,"7 : 0.087395005, 7 : 0.07762172, 7 : 0.074522324",50187387388,
228,45.023371,7.669023,2,"13 : 0.07867018, 9 : 0.06854819, 9 : 0.057623804",50187936211,
229,45.023371,7.669023,2,"13 : 0.42949978, 14 : 0.21098292, 13 : 0.03520974",50188194302,
230,45.023371,7.669023,2,"13 : 0.12935066, 5 : 0.031961408, 2 : 0.026659958",50187395433,
231,45.023371,7.669023,2,"7 : 0.18778346, 9 : 0.04834612, 13 : 0.043077115",50187389383,
232,45.023371,7.669023,2,"13 : 0.14085704, 14 : 0.083756104, 13 : 0.04789283",50188187487,
233,45.023371,7.669023,2,"13 : 0.047456402, 7 : 0.025152616, 13 : 0.024348464",50187396438,
234,45.023371,7.669023,2,"6 : 0.07889937, 6 : 0.0487718, 13 : 0.047444794",50187935311,
235,45.023371,7.669023,2,"13 : 0.9322056, 2 : 0.0057234326, 13 : 0.005552443",50187927156,
236,45.023371,7.669023,2,"13 : 0.09339677, 10 : 0.0811569, 13 : 0.06939917",50187937076,
237,45.023371,7.669023,2,"6 : 0.27867967, 6 : 0.088147536, 7 : 0.068031125",50187939466,
238,45.023371,7.669023,2,"6 : 0.18977477, 13 : 0.08153934, 8 : 0.036421448",50188186257,
239,45.023371,7.669023,2,"9 : 0.13989039, 12 : 0.12932071, 13 : 0.06527083",50187394183,
240,45.023371,7.669023,2,"9 : 0.9087011, 13 : 0.017790316, 6 : 0.004037537",50187940821,
241,45.023371,7.669023,2,"13 : 0.89854294, 2 : 0.048959296, 9 : 0.0048522796",50187941211,
242,45.023371,7.669023,2,"13 : 0.049003422, 3 : 0.023453016, 7 : 0.021175267",50188182742,
243,45.023371,7.669023,2,"6 : 0.76537335, 6 : 0.018009454, 9 : 0.01772279",50188189737,
244,45.023371,7.669023,2,"9 : 0.17833592, 13 : 0.041361045, 14 : 0.031765677",50187396883,
245,45.023371,7.669023,2,"13 : 0.92605907, 12 : 0.025879571, 13 : 0.012282665",50187937731,
246,45.023371,7.669023,2,"6 : 0.39087823, 6 : 0.086513944, 6 : 0.05007112",50187927741,
247,45.023371,7.669023,2,"2 : 0.41786942, 13 : 0.07676689, 4 : 0.0314573",50187928816,
248,45.023371,7.669023,2,"2 : 0.18096879, 13 : 0.07715983, 7 : 0.058607586",50187391568,
249,45.023371,7.669023,2,"2 : 0.6331311, 7 : 0.016583685, 13 : 0.008460288",50187388918,
250,45.023371,7.669023,2,"2 : 0.24406989, 9 : 0.0553661, 13 : 0.04924304",50187936151,
251,45.023371,7.669023,2,"13 : 0.95820385, 13 : 0.005250506, 5 : 0.0028452047",50188194522,
252,45.023371,7.669023,2,"2 : 0.5457369, 9 : 0.045133866, 13 : 0.043353353",50188194402,
253,45.023371,7.669023,2,"13 : 0.8795137, 13 : 0.0492734, 13 : 0.024295282",50187934866,
254,45.023371,7.669023,2,"13 : 0.096257724, 12 : 0.060846068, 9 : 0.05447412",50188184507,
255,45.023371,7.669023,2,"9 : 0.076425806, 12 : 0.07296389, 12 : 0.042307127",50188184552,
256,45.023371,7.669023,2,"7 : 0.2959482, 7 : 0.11486506",50187390233,
257,45.023371,7.669023,2,"6 : 0.39133957, 6 : 0.10281552, 13 : 0.023115551",50187936366,
258,45.023371,7.669023,2,"5 : 0.098772585, 13 : 0.0692838, 13 : 0.037352342",50188190302,
259,45.023371,7.669023,2,"13 : 0.14876282, 14 : 0.1321557, 13 : 0.08035161",50188196097,
260,45.023371,7.669023,2,"7 : 0.10676496, 9 : 0.103664555, 9 : 0.08207759",50187930581,
261,45.023371,7.669023,2,"7 : 0.26408702, 7 : 0.08860848, 9 : 0.051972542",50187393263,
