id,predictions,CLUSTER_ID
2.18487204521135E+018,"3 : 0.44636178, 2 : 0.077040404, 2 : 0.057097316",17
2.18330256779507E+018,"7 : 0.6686194, 13 : 0.088326424, 1 : 0.028708199",17
2.17984054613762E+018,"11 : 0.22732556, 13 : 0.19230387, 11 : 0.12868655",17
2.17575452771046E+018,"7 : 0.100916214, 2 : 0.09759909, 3 : 0.07409494",17
2.17286615652479E+018,"7 : 0.7825633, 13 : 0.15517639, 7 : 0.011064866",17
2.17141983727553E+018,"13 : 0.2749318, 7 : 0.12573132, 7 : 0.0678797",17
2.17069524517246E+018,"7 : 0.77997255, 2 : 0.031750243, 10 : 0.019164618",17
2.16966915453406E+018,"13 : 0.4374308, 10 : 0.016656028, 2 : 0.014259692",17
2.16915089608942E+018,"12 : 0.17066005, 12 : 0.07027324, 11 : 0.07025677",17
2.16839206396879E+018,"7 : 0.9786511, 13 : 0.01668959, 7 : 0.0009566113",17
2.1674852877066E+018,"7 : 0.42993394, 12 : 0.11556643, 4 : 0.096410625",17
2.16604552694987E+018,"7 : 0.13213807, 7 : 0.085075475, 3 : 0.055357084",17
2.16537589857296E+018,"12 : 0.6980029, 7 : 0.02199814, 11 : 0.01596076",17
2.16482918048422E+018,"2 : 0.13537093, 7 : 0.09969026, 13 : 0.07245117",17
2.16482802517148E+018,"7 : 0.25934288, 14 : 0.09524501, 12 : 0.09249386",17
2.16263336842091E+018,"10 : 0.39275494, 2 : 0.041517086, 2 : 0.034138713",17
2.16100686182277E+018,"2 : 0.18800013, 7 : 0.15787105, 7 : 0.07909992",17
2.160530243321E+018,"11 : 0.1861819, 11 : 0.08651474, 12 : 0.0713136",17
2.15974020349815E+018,"6 : 0.24167442, 7 : 0.1095377, 6 : 0.09256242",17
2.15973322491442E+018,"7 : 0.5149018, 7 : 0.115392715, 7 : 0.084133044",17
2.15908773313698E+018,"7 : 0.47683212, 10 : 0.08906532, 7 : 0.03435959",17
2.15898892926163E+018,"7 : 0.12903865, 7 : 0.104715765, 3 : 0.061897982",17
2.15891417225037E+018,"1 : 0.26480535, 13 : 0.10385069, 7 : 0.07910107",17
2.15747235271071E+018,"7 : 0.24896213, 10 : 0.20904519, 4 : 0.027514515",17
2.15675014960774E+018,"9 : 0.37475994, 13 : 0.04873511, 13 : 0.0438414",17
