field_1,lat,lng,label,cores,CLUSTER_ID,CLUSTER_SIZE,CLUSTER_ID_2,CLUSTER_SIZE_2
"11083",45.062725,7.679147,"1","1","14","6064","4","522"
"11084",45.06273,7.679747,"1","1","14","6064","4","522"
"11090",45.062747,7.67975,"1","1","14","6064","4","522"
"11096",45.062775,7.678885,"1","1","14","6064","4","522"
"11097",45.062777,7.678611,"1","1","14","6064","4","522"
"11104",45.062786,7.671575,"1","1","14","6064","4","522"
"11105",45.062788,7.679394,"1","1","14","6064","4","522"
"11106",45.062788,7.679394,"1","1","14","6064","4","522"
"11107",45.062788,7.679394,"1","1","14","6064","4","522"
"11108",45.062788,7.679394,"1","1","14","6064","4","522"
"11109",45.062788,7.679394,"1","1","14","6064","4","522"
"11110",45.062788,7.679394,"1","1","14","6064","4","522"
"11111",45.062788,7.679394,"1","1","14","6064","4","522"
"11112",45.062788,7.679394,"1","1","14","6064","4","522"
"11113",45.062788,7.679394,"1","1","14","6064","4","522"
"11114",45.062788,7.679394,"1","1","14","6064","4","522"
"11115",45.062788,7.679394,"1","1","14","6064","4","522"
"11118",45.062794,7.679388,"1","1","14","6064","4","522"
"11119",45.062794,7.684313,"1","1","14","6064","2","2053"
"11120",45.062797,7.678808,"1","1","14","6064","4","522"
"11121",45.062802,7.679044,"1","1","14","6064","4","522"
"11123",45.062808,7.679155,"1","1","14","6064","4","522"
"11124",45.062813,7.67915,"1","1","14","6064","4","522"
"11131",45.06283,7.679455,"1","1","14","6064","4","522"
"11135",45.062847,7.679255,"1","1","14","6064","4","522"
"11136",45.062847,7.679255,"1","1","14","6064","4","522"
"11137",45.062847,7.679255,"1","1","14","6064","4","522"
"11138",45.062847,7.679255,"1","1","14","6064","4","522"
"11139",45.062847,7.679255,"1","1","14","6064","4","522"
"11141",45.062855,7.677363,"1","1","14","6064","4","522"
"11142",45.062881,7.678906,"1","1","14","6064","4","522"
"11153",45.0629,7.67943,"1","1","14","6064","4","522"
"11154",45.0629,7.67943,"1","1","14","6064","4","522"
"11155",45.0629,7.67943,"1","1","14","6064","4","522"
"11156",45.0629,7.67943,"1","1","14","6064","4","522"
"11159",45.062905,7.67785,"1","1","14","6064","4","522"
"11168",45.062922,7.678291,"1","1","14","6064","4","522"
"11169",45.062922,7.684755,"1","1","14","6064","2","2053"
"11174",45.062931,7.679078,"1","1","14","6064","4","522"
"11175",45.062933,7.67593,"1","1","14","6064","4","522"
"11177",45.062944,7.679019,"1","1","14","6064","4","522"
"11181",45.062972,7.677597,"1","1","14","6064","4","522"
"11183",45.062988,7.678735,"1","1","14","6064","4","522"
"11184",45.062988,7.678735,"1","1","14","6064","4","522"
"11185",45.062988,7.678735,"1","1","14","6064","4","522"
"11188",45.062991,7.677486,"1","1","14","6064","4","522"
"11189",45.062991,7.677486,"1","1","14","6064","4","522"
"11193",45.063011,7.679369,"1","1","14","6064","4","522"
"11194",45.063011,7.679369,"1","1","14","6064","4","522"
"11195",45.063011,7.679369,"1","1","14","6064","4","522"
"11196",45.063011,7.679369,"1","1","14","6064","4","522"
"11197",45.063011,7.679369,"1","1","14","6064","4","522"
"11198",45.063011,7.679369,"1","1","14","6064","4","522"
"11200",45.063018,7.678574,"1","1","14","6064","4","522"
