field_1,lat,lng,label,cores,predictions,ids,CLUSTER_ID
20009,45.077346,7.765982,2,1,"8 : 0.40961948, 8 : 0.20318015, 7 : 0.0089828",37799366052,
20010,45.077346,7.765982,2,1,"8 : 0.2798802, 8 : 0.2778223, 8 : 0.09967109",37120849724,
20011,45.077346,7.765982,2,1,"8 : 0.3979871, 8 : 0.24276905, 8 : 0.11898959",37120352084,
20012,45.077346,7.765982,2,1,"8 : 0.5334597, 8 : 0.20814696, 9 : 0.022500932",37572848410,
20013,45.077346,7.765982,2,1,"8 : 0.18203852, 8 : 0.12493462, 7 : 0.07124561",23978200118,
20014,45.077346,7.765982,2,1,"13 : 0.118119225, 13 : 0.056309547, 8 : 0.02876954",37572814060,
20015,45.077346,7.765982,2,1,"8 : 0.69967884, 8 : 0.06371511, 8 : 0.06113577",37572545420,
20016,45.077346,7.765982,2,1,"8 : 0.7589119, 8 : 0.1233739, 6 : 0.00529599",37782082856,
20017,45.077346,7.765982,2,1,"8 : 0.55387074, 8 : 0.16228315, 8 : 0.10990229",37814089406,
20018,45.077346,7.765982,2,1,"8 : 0.894206, 9 : 0.01642809, 6 : 0.0041130115",37814094176,
20019,45.077346,7.765982,2,1,"8 : 0.38084465, 8 : 0.14988756, 8 : 0.10710924",24009932368,
20020,45.077346,7.765982,2,1,"9 : 0.8392604, 8 : 0.045652494, 8 : 0.024881799",24009931628,
20021,45.077346,7.765982,2,1,"8 : 0.6658457, 8 : 0.03542384, 9 : 0.016122904",24009931058,
20022,45.077346,7.765982,2,1,"8 : 0.66492224, 8 : 0.060882453, 6 : 0.012815984",37814092806,
20023,45.077346,7.765982,2,1,"8 : 0.7340232, 8 : 0.0602006, 8 : 0.011009009",37605328660,
20024,45.077346,7.765982,2,1,"8 : 0.59839195, 8 : 0.114689544, 8 : 0.09310745",37605267660,
20025,45.077346,7.765982,2,1,"8 : 0.645932, 8 : 0.052570272, 9 : 0.03499987",24009988718,
20026,45.077346,7.765982,2,1,"8 : 0.72042185, 8 : 0.091029994, 9 : 0.023242686",37605330360,
20027,45.077346,7.765982,2,1,"8 : 0.7587091, 8 : 0.13549328, 6 : 0.012138389",37862777961,
20028,45.077346,7.765982,2,1,"8 : 0.82922035, 8 : 0.02988808, 9 : 0.011498961",37831839922,
20029,45.077346,7.765982,2,1,"8 : 0.38148472, 8 : 0.24331877, 6 : 0.0365479",37605780680,
20030,45.077346,7.765982,2,1,"8 : 0.46173024, 8 : 0.10063479, 8 : 0.017871214",37863387731,
20031,45.077346,7.765982,2,1,"8 : 0.37690952, 8 : 0.21756332, 6 : 0.021104079",37863385421,
20032,45.077346,7.765982,2,1,"8 : 0.39407277, 8 : 0.20804493, 5 : 0.028071351",37863386211,
20033,45.077346,7.765982,2,1,"8 : 0.90314806, 8 : 0.012594967, 6 : 0.008391773",37831944752,
20034,45.077346,7.765982,2,1,"8 : 0.77879417, 8 : 0.11112272, 8 : 0.01575232",37863387051,
20035,45.077346,7.765982,2,1,"8 : 0.505811, 8 : 0.28426766, 8 : 0.017983941",37814595346,
20036,45.077346,7.765982,2,1,"8 : 0.8545151, 9 : 0.032488637, 6 : 0.0134114325",37831841492,
20037,45.077346,7.765982,2,1,"8 : 0.58516, 8 : 0.24111049, 9 : 0.017658593",37153521164,
20038,45.077346,7.765982,2,1,"8 : 0.6414616, 8 : 0.06876381, 9 : 0.01841984",37153600664,
20039,45.077346,7.765982,2,1,"8 : 0.72757167, 8 : 0.099339955, 6 : 0.047485046",37863384021,
20040,45.077346,7.765982,2,1,"8 : 0.65686715, 8 : 0.056839008, 9 : 0.031515885",37831945402,
20041,45.077513,7.769105,2,1,"11 : 0.21856517, 11 : 0.16025895, 11 : 0.07344873",41108995204,
20042,45.077589,7.764812,2,1,"8 : 0.58245087, 9 : 0.05411211, 8 : 0.05110629",48903512242,
20043,45.077589,7.764812,2,1,"8 : 0.49236885, 8 : 0.3627562, 6 : 0.0115827015",48902779868,
20044,45.077589,7.764812,2,1,"8 : 0.51011753, 8 : 0.0895923, 9 : 0.021344619",48903300846,
20045,45.077589,7.764812,2,1,"8 : 0.63457686, 8 : 0.032366488, 9 : 0.021635167",48903510362,
20046,45.077589,7.764812,2,1,"8 : 0.72411543, 8 : 0.06558726, 9 : 0.059437063",48903300326,
20047,45.077589,7.764812,2,1,"9 : 0.42746586, 8 : 0.04990157, 8 : 0.03255056",48903300216,
20048,45.077589,7.764812,2,1,"8 : 0.39923692, 8 : 0.21777421, 9 : 0.12551218",48903510132,
20049,45.077589,7.764812,2,1,"8 : 0.45313308, 8 : 0.20206437, 8 : 0.06029522",48903509697,
20050,45.077589,7.764812,2,1,"8 : 0.19266813, 8 : 0.16222666, 7 : 0.04078475",48903299986,
20051,45.077589,7.764812,2,1,"8 : 0.66247296, 8 : 0.07897309, 8 : 0.041608136",48903511222,
20052,45.077589,7.764812,2,1,"8 : 0.21247657, 7 : 0.09175526, 9 : 0.048748165",48903291146,
20053,45.077589,7.764812,2,1,"8 : 0.8254391, 8 : 0.07209171, 9 : 0.01482291",48903300041,
20054,45.077589,7.764812,2,1,"8 : 0.44142503, 9 : 0.28969854, 8 : 0.055879526",48903511492,
20055,45.077589,7.764812,2,1,"8 : 0.6948156, 8 : 0.043476116, 9 : 0.03051769",48903298146,
20056,45.077589,7.764812,2,1,"8 : 0.25182003, 9 : 0.14592576, 8 : 0.07747306",48903512322,
20057,45.077589,7.764812,2,1,"9 : 0.51644033, 8 : 0.2930845, 8 : 0.06651392",48903302531,
20058,45.077589,7.764812,2,1,"9 : 0.41685697, 8 : 0.32023895, 6 : 0.02058066",48903501767,
20059,45.077589,7.764812,2,1,"8 : 0.21397492, 8 : 0.20925145, 9 : 0.14300613",48903299751,
20060,45.077589,7.764812,2,1,"8 : 0.8318541, 8 : 0.047774397, 8 : 0.026271407",48903508742,
20061,45.077589,7.764812,2,1,"7 : 0.09270099, 13 : 0.06673698, 13 : 0.051793195",48903302601,
20062,45.077589,7.764812,2,1,"8 : 0.51580197, 8 : 0.2821117, 6 : 0.014884443",48903511822,
20063,45.077589,7.764812,2,1,"8 : 0.3994868, 8 : 0.18917242, 6 : 0.014785849",48903301041,
20064,45.077589,7.764812,2,1,"8 : 0.576703, 8 : 0.13323763, 7 : 0.04329484",48902776233,
20065,45.077589,7.764812,2,1,"8 : 0.16943005, 8 : 0.11760379, 8 : 0.09531903",48902775878,
20066,45.077589,7.764812,2,1,"7 : 0.4909982, 8 : 0.05879526, 9 : 0.04742736",48903501367,
20067,45.077589,7.764812,2,1,"8 : 0.45833698, 8 : 0.11697243, 8 : 0.11633852",48903298776,
20068,45.077589,7.764812,2,1,"13 : 0.21270809, 13 : 0.08890985, 9 : 0.07453239",48902780223,
20069,45.077777,7.768888,2,1,"11 : 0.7519083, 11 : 0.11198476, 1 : 0.025127282",27321273489,
20070,45.077854,7.769179,2,1,"11 : 0.65147674, 11 : 0.15152098, 11 : 0.06342196",41829229022,
20071,45.078061,7.760575,2,1,"13 : 0.9226596, 4 : 0.006551633, 8 : 0.004266699",43594425460,
20072,45.078598,7.758193,2,1,"8 : 0.21975695, 5 : 0.08011218, 7 : 0.04771349",36329371720,
20073,45.078598,7.758193,2,1,"7 : 0.8750621, 8 : 0.045025803, 11 : 0.014349593",36586023651,
20074,45.078638,7.766025,2,1,"11 : 0.5704848, 11 : 0.0907723, 11 : 0.042219725",48883986453,
20075,45.078638,7.766025,2,1,"1 : 0.24864362, 11 : 0.20249507, 1 : 0.113031626",48884696527,
20076,45.078638,7.766025,2,1,"11 : 0.3476878, 1 : 0.27226952, 11 : 0.12563485",48884696202,
20077,45.078638,7.766025,2,1,"1 : 0.13577004, 12 : 0.12176576, 8 : 0.07550912",48883985333,
20078,45.078638,7.766025,2,1,"11 : 0.468081, 1 : 0.21814546, 11 : 0.21374527",48884517821,
20079,45.078638,7.766025,2,1,"11 : 0.74431914, 1 : 0.12599406, 1 : 0.014492204",48883984108,
20080,45.078642,7.762538,2,1,"4 : 0.70062655, 13 : 0.038613666, 9 : 0.017230365",40483673953,
20081,45.078763,7.760456,2,1,"13 : 0.46068865, 4 : 0.10267337, 2 : 0.053723935",46441007194,
20082,45.078801,7.754899,2,1,"4 : 0.09657483, 13 : 0.05364731, 9 : 0.03923559",26647221719,
20083,45.07918,7.767205,2,1,"2 : 0.08798646, 7 : 0.06692081, 7 : 0.03840885",37154689184,
20084,45.07918,7.767205,2,1,"7 : 0.09965431, 8 : 0.08897929, 7 : 0.057332303",45786220311,
20085,45.07918,7.767205,2,1,"2 : 0.17629401, 12 : 0.16912308, 2 : 0.062156416",45786219661,
20086,45.07918,7.767205,2,1,"2 : 0.14356191, 2 : 0.13815922, 7 : 0.0879199",45061514184,
20087,45.07918,7.767205,2,1,"13 : 0.18374476, 13 : 0.09521618, 13 : 0.04029879",37154688024,
20088,45.07918,7.767205,2,1,"13 : 0.24850802, 13 : 0.19752783, 2 : 0.17958812",37154706364,
